Id;CODIGO_BUQUE;CODIGO_UE;NOMBRE_BUQUE;MATRICULA;FOLIO;DISTINTIVO;LISTA;CENSOPORMODALIDAD;CALADERO;MODALIDAD;LABORATORIO_PTOBASE;CODIGO_PUERTO_BASE;PUERTO_BASE;VERNACULO;PROVINCIA;AUTONOMIA_PUERTO_BASE;ESTADO;PAIS_EXPORTACION;FECHA_ALTA_CENSO;FECHA_SITUACION;FECHA_ENTRADA_SERVICIO;IRREGULAR;ESLORA_TOTAL;ESLORA_PP;LOA;ARQUEO_TRB;ARQUEO_GT;SITUACION_GT;POTENCIA_CV;POTENCIA_KW;TIPO_CASCO;AÑO_CONST;Observ
1309;23217;ESP000023217;EL PINGUI;CA-5;2-95;;3;ARTES MENORES  EN EL GOLFO DE CADIZ;2;MENORES;IEO;33500;BARBATE;BARBATE;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;27/06/1996;27/06/1996;26/12/1995;NO;8;;VL0010;3,119999886;2,710000038;DEFINITIVO;23;16,92420959;MADERA;1995;
1310;23219;ESP000023219;MAILI;VI-1;5-95;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24140;CAMPELO;CAMPELO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;27/06/1996;27/06/1996;18/10/1995;NO;7,75;6,75;VL0010;4,03000021;3,140000105;DEFINITIVO;30;22,07505608;POLIESTER;1995;
1311;23223;ESP000023223;LOMBA MAURI;VI-5;5-96;EA2480;3;PALANGRE DE SUPERFICIE CALADERO NACIONAL;NO_ICES;NO_ICES;IEO;24700;LA GUARDIA;A GUARDA;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;12/07/1996;30/09/1997;22/04/1996;NO;28;22,39999962;VL2440;106,8899994;169;DEFINITIVO;357;262,6931458;ACERO;1996;
1312;23225;ESP000023225;NUEVO TORRE QUITINA;ST-2;2-96;EAMW;3;CERCO EN CANTABRICO NW;1;CERCO;IEO;13210;COLINDRES;COLINDRES;CANTABRIA;CANTABRIA;ALTA DEFINITIVA;;12/07/1996;31/12/1996;01/07/1996;NO;32,5;26,81999969;VL2440;140;177;DEFINITIVO;400;294,3340759;ACERO;1996;
1313;23227;ESP000023227;BERRIZ IRIGOIEN;SS-3;2-96;EAEC;3;CERCO EN CANTABRICO NW;1;CERCO;AZTI;11310;GUETARIA;GUETARIA;GUIPUZCOA;PAIS VASCO;ALTA DEFINITIVA;;15/07/1996;28/11/1996;01/01/1996;NO;35,59999847;29,5;VL2440;148,4199982;192;DEFINITIVO;613;451,0669556;ACERO;1996;
1314;23228;ESP000023228;LOLO PELAILLA;CT-1;4-95;;3;PALANGRE DE SUPERFICIE EN EL MEDITERRANEO;NO_ICES;NO_ICES;IEO;51100;GARRUCHA;GARRUCHA;ALMERIA;ANDALUCIA;ALTA DEFINITIVA;;18/07/1996;18/07/1996;19/12/1995;NO;13,5;11,89999962;VL1218;13,85999966;15,15999985;DEFINITIVO;108;79,47019958;POLIESTER;1995;
1315;23231;ESP000023231;MARACA;GI-8;1-96;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;14800;LUARCA;LUARCA;ASTURIAS;PRINCIPADO DE ASTURIAS;ALTA DEFINITIVA;;18/07/1996;18/07/1996;15/03/1996;NO;9,800000191;7,840000153;VL0010;5,650000095;3,180000067;DEFINITIVO;45;33,11258316;MADERA;1996;
1316;23232;ESP000023232;SEGUNDO MOLDES;CO-7;7-95;;3;CERCO EN CANTABRICO NW;1;CERCO;IEO;21440;PUENTEDEUME;PONTEDEUME;A CORUÑA;GALICIA;ALTA DEFINITIVA;;18/07/1996;18/07/1996;14/11/1995;NO;12,47999954;9,600000381;VL1218;7,510000229;10,86999989;DEFINITIVO;28;20,60338402;MADERA;1995;
1317;23233;ESP000023233;NACHO;CO-4;2-95;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22200;A CORUÑA;A CORUÑA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;18/07/1996;18/07/1996;10/01/1996;NO;7,099999905;5,5;VL0010;2,579999924;1,690000057;DEFINITIVO;16;11,77336311;POLIESTER;1995;
1318;23235;ESP000023235;ILLA LOBEIRA;CO-5;1-95;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22500;CORCUBION;CORCUBION;A CORUÑA;GALICIA;ALTA DEFINITIVA;;18/07/1996;31/12/1996;21/02/1996;NO;13,39999962;;VL1218;9,899999619;13,14999962;DEFINITIVO;55;40,47093582;MADERA;1995;
